startDice, runs, increaseCount, decreaseCount, refillBool
8,83,9,15,1
10,63,4,12,1
12,162,12,22,1
6,24,1,5,1
8,85,4,10,1
10,113,5,13,1
12,331,20,30,1
6,86,6,10,1
8,19,2,8,1
10,43,2,10,1
12,179,11,21,1
6,10,0,4,1
8,27,2,8,1
10,107,10,18,1
12,108,9,19,1
6,22,1,5,1
8,155,16,22,1
10,152,15,23,1
12,115,2,12,1
6,50,1,5,1
8,74,8,14,1
10,134,10,18,1
12,158,12,22,1
6,18,1,5,1
8,43,2,8,1
10,106,6,14,1
12,406,25,35,1
6,9,0,4,1
8,59,4,10,1
10,233,13,21,1
12,550,36,46,1
6,15,0,4,1
8,126,4,10,1
10,58,6,14,1
12,58,0,10,1
6,16,3,7,1
8,109,5,11,1
10,188,17,25,1
12,148,10,20,1
6,26,3,7,1
8,24,0,6,1
10,97,9,17,1
12,81,4,14,1
6,12,0,4,1
8,216,23,29,1
10,216,16,24,1
12,152,12,22,1
6,24,1,5,1
8,32,1,7,1
10,153,13,21,1
12,229,14,24,1
6,13,0,4,1
8,107,7,13,1
10,58,4,12,1
12,261,12,22,1
6,4,0,4,1
8,72,9,15,1
10,127,11,19,1
12,627,54,64,1
6,32,3,7,1
8,34,1,7,1
10,427,39,47,1
12,133,7,17,1
6,45,4,8,1
8,171,13,19,1
10,273,23,31,1
12,219,12,22,1
6,29,0,4,1
8,105,9,15,1
10,71,6,14,1
12,131,15,25,1
6,41,3,7,1
8,52,3,9,1
10,300,26,34,1
12,494,31,41,1
6,25,1,5,1
8,114,10,16,1
10,82,9,17,1
12,616,49,59,1
6,40,1,5,1
8,62,7,13,1
10,336,34,42,1
12,247,19,29,1
6,49,4,8,1
8,15,2,8,1
10,122,6,14,1
12,203,16,26,1
6,37,2,6,1
8,44,3,9,1
10,151,6,14,1
12,217,16,26,1
6,50,5,9,1
8,68,5,11,1
10,69,5,13,1
12,36,2,12,1
6,12,0,4,1
8,103,7,13,1
10,104,7,15,1
12,130,7,17,1
6,46,2,6,1
8,97,8,14,1
10,52,6,14,1
12,188,9,19,1
6,52,1,5,1
8,31,1,7,1
10,253,17,25,1
12,321,25,35,1
6,24,0,4,1
8,44,4,10,1
10,81,5,13,1
12,446,33,43,1
6,31,1,5,1
8,99,3,9,1
10,67,5,13,1
12,286,25,35,1
6,20,2,6,1
8,77,2,8,1
10,106,3,11,1
12,125,6,16,1
6,45,2,6,1
8,60,3,9,1
10,186,15,23,1
12,290,21,31,1
6,18,0,4,1
8,38,4,10,1
10,154,15,23,1
12,65,2,12,1
6,18,1,5,1
8,81,7,13,1
10,122,6,14,1
12,293,24,34,1
6,21,0,4,1
8,37,3,9,1
